context,sigma_ext,delta_theta,theta0,theta_left_target,theta_right_target,eps_left,eps_right,theta_left,theta_right,repeat,shared_noise,left_clipped,right_clipped,effective_delta,correct_right,response_key,choose_right,is_correct,trial_index,sigma_target,sigma_internal
redder,0.16750920555114876,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,0.2461981666191803,-0.10470798366134235,-0.43919999677826804,-0.9901061470587906,5,False,False,False,-0.2,False,left,0,1,22,0.2,0.10927335473766238
redder,0.16750920555114876,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,-0.29935388899198406,-0.1157934308425174,-1.1047520523894323,-0.8811915942399656,5,False,False,False,0.04,True,right,1,1,23,0.2,0.10927335473766238
redder,0.10275861980572237,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,0.05578064065761192,0.0075494120569156034,-0.7496175227398364,-0.7578487513405326,0,False,False,False,0.04,True,right,1,1,24,0.15,0.10927335473766238
redder,0.16750920555114876,0.2,-0.7853981633974483,-0.8853981633974483,-0.6853981633974483,-0.2319718721623374,-0.08870152478896288,-1.1173700355597855,-0.7740996881864112,0,False,False,False,0.2,True,right,1,1,25,0.2,0.10927335473766238
redder,0.10275861980572237,0.2,-0.7853981633974483,-0.8853981633974483,-0.6853981633974483,0.12058615678566094,0.08074270044219664,-0.7648120066117873,-0.6046554629552516,3,False,False,False,0.2,True,right,1,1,26,0.15,0.10927335473766238
redder,0.10275861980572237,-0.04,-0.7853981633974483,-0.7653981633974483,-0.8053981633974483,0.12126848832119978,-0.13257101307375438,-0.6441296750762485,-0.9379691764712027,0,False,False,False,-0.04,False,left,0,1,27,0.15,0.10927335473766238
redder,0.16750920555114876,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,0.0680846799818981,0.014246942130592872,-0.6473134834155501,-0.8411512212668555,1,False,False,False,-0.14,False,left,0,1,28,0.2,0.10927335473766238
redder,0.10275861980572237,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,0.022063315666653285,-0.0560831414554154,-0.783334847730795,-0.8214813048528636,2,False,False,False,0.04,True,right,1,1,29,0.15,0.10927335473766238
redder,0.16750920555114876,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,-0.14035182773210023,-0.25297621686743516,-0.9657499911295485,-0.9983743802648835,5,False,False,False,0.08,True,right,1,1,30,0.2,0.10927335473766238
redder,0.16750920555114876,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,-0.0032955330891803036,-0.034846845167888295,-0.8286936964866286,-0.7802450085653365,0,False,False,False,0.08,True,right,1,1,31,0.2,0.10927335473766238
redder,0.10275861980572237,0.2,-0.7853981633974483,-0.8853981633974483,-0.6853981633974483,0.09794404417718444,0.12511052623454538,-0.7874541192202638,-0.5602876371629029,2,False,False,False,0.2,True,right,1,1,32,0.15,0.10927335473766238
redder,0.16750920555114876,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,0.09844859989914262,-0.16320636318732065,-0.7569495634983057,-0.8786045265847688,1,False,False,False,0.14,True,left,0,0,33,0.2,0.10927335473766238
redder,0.10275861980572237,0.2,-0.7853981633974483,-0.8853981633974483,-0.6853981633974483,0.059589389964362686,-0.010346855773321109,-0.8258087734330856,-0.6957450191707694,0,False,False,False,0.2,True,right,1,1,34,0.15,0.10927335473766238
redder,0.10275861980572237,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,0.051630022732990805,-0.006585576177316053,-0.6937681406644575,-0.8319837395747643,5,False,False,False,-0.08,False,left,0,1,35,0.15,0.10927335473766238
