context,sigma_ext,delta_theta,theta0,theta_left_target,theta_right_target,eps_left,eps_right,theta_left,theta_right,repeat,shared_noise,left_clipped,right_clipped,effective_delta,correct_right,response_key,choose_right,is_correct,trial_index,sigma_target,sigma_internal
redder,0.11124751738793805,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,0.2760604029983458,0.1608782472462926,-0.5293377603991025,-0.6045199161511556,3,False,False,False,0.04,True,left,0,0,38,0.15,0.10061803951091684
redder,0.17284678222338876,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,-0.03206060479002331,0.2807288710153029,-0.7774587681874715,-0.5446692923821455,0,False,False,False,-0.08,False,right,1,0,39,0.2,0.10061803951091684
redder,0.11124751738793805,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,0.09445783980838009,-0.04766595857292712,-0.7309403235890682,-0.7930641219703753,5,False,False,False,0.08,True,left,0,0,40,0.15,0.10061803951091684
redder,0.17284678222338876,-0.04,-0.7853981633974483,-0.7653981633974483,-0.8053981633974483,-0.09376554477747655,0.006792499324753492,-0.8591637081749248,-0.7986056640726948,2,False,False,False,-0.04,False,right,1,0,41,0.2,0.10061803951091684
redder,0.17284678222338876,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,-0.21879102195444755,-0.017013027544707876,-0.9341891853518958,-0.8724111909421562,1,False,False,False,-0.14,False,right,1,0,42,0.2,0.10061803951091684
redder,0.17284678222338876,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,0.08073857040711034,0.2198937597430063,-0.604659592990338,-0.665504403654442,2,False,False,False,-0.2,False,right,1,0,43,0.2,0.10061803951091684
redder,0.17284678222338876,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,-0.15302971710515412,-0.16962024236349119,-1.0084278805026026,-0.8850184057609394,1,False,False,False,0.14,True,right,1,1,44,0.2,0.10061803951091684
redder,0.17284678222338876,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,0.1076617487722468,0.1133450659296808,-0.6077364146252014,-0.7420530974677675,2,False,False,False,-0.14,False,left,0,1,45,0.2,0.10061803951091684
redder,0.17284678222338876,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,-0.14606976508532418,-0.04641801736973735,-1.0014679284827726,-0.7618161807671856,3,False,False,False,0.14,True,left,0,0,46,0.2,0.10061803951091684
redder,0.11124751738793805,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,0.1367606668945583,0.0922803188581747,-0.60863749650289,-0.7331178445392736,1,False,False,False,-0.08,False,left,0,1,47,0.15,0.10061803951091684
redder,0.17284678222338876,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,0.10648465850121232,-0.13311733354893374,-0.748913504896236,-0.848515496946382,0,False,False,False,0.14,True,left,0,0,48,0.2,0.10061803951091684
redder,0.11124751738793805,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,-0.006314927190153781,-0.051928771454999016,-0.751713090587602,-0.8773269348524473,4,False,False,False,-0.08,False,right,1,0,49,0.15,0.10061803951091684
redder,0.17284678222338876,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,-0.10070711380607404,0.16982134525230003,-0.9261052772035223,-0.5755768181451482,1,False,False,False,0.08,True,right,1,1,50,0.2,0.10061803951091684
redder,0.17284678222338876,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,-0.16418542571979342,-0.18550287996514164,-0.8495835891172417,-1.0709010433625898,4,False,False,False,-0.2,False,left,0,1,51,0.2,0.10061803951091684
redder,0.17284678222338876,-0.04,-0.7853981633974483,-0.7653981633974483,-0.8053981633974483,-0.1331493538810763,0.13642267486904258,-0.8985475172785246,-0.6689754885284057,5,False,False,False,-0.04,False,right,1,0,52,0.2,0.10061803951091684
